SL NO,Sanskrit,Hindi,English,Sentiment_Polarity,Sentiment_Label
1,"धृतराष्ट्र उवाच
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः ।
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ।","धृतराष्ट्र बोले- हे सञ्जय ! धर्मभूमि कुरुक्षेत्र में
एकत्रित, युद्ध की इच्छा वाले मेरे और पाण्डु के पुत्रों
ने क्या किया ? ।।","Dhratrastra said: Sañjaya, gathered on
the sacred soil of Kuruksetra, eager to fight,
what did my children and the children of
Pandu do?",0.0,Calmness
2,"प्रसंग - धृतराष्ट्र के पूछने पर सञ्जय कहते हैं-
सञ्जय उवाच
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।
आचार्यमुपसंगम्य राजा वचनमब्रवीत् । ","सञ्जय बोले- उस समय राजा दुर्योधन ने व्यूह
रचनायुक्त पाण्डवों की सेना को देखकर और द्रोणाचार्य
के पास जाकर यह वचन कहा ।","Sanjaya said: At that time, seeing the army
of the Pandavas drawn up for battle and
approaching Dronacarya King Duryodhana
spoke these words:",0.5,Enjoyment
3,"प्रसंग - द्रोणाचार्य के पास जाकर दुर्योधन ने जो कुछ कहा, अब उसे तलाते हैं-
पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् । व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ।",हे आचार्य ! आपके बुद्धिमान् शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डु पुत्रों की इस बड़ी भारी सेना को देखिये ।। ,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhrstadyumna, son of Drupada.",0.27,Empathy
4," पाण्डव-सेनाकी व्यूहरचना दिखलाकर अब दुर्योधन तीन श्लोकों द्वारा पाण्डव-सेना के प्रमुख महारथियों के नाम बतलाते हैं-
अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । युयुधानो विराटश्च द्रुपदश्च महारथः ।।",इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर सात्यकि और विराट तथा महारथी राजा द्रुपद,There are in this army heroes wielding mighty bows and equal in military prowess to Bhima and Arjuna-Satyaki and Virat and the Maharathi (warrior chief) Drupada; ,0.0,Calmness
5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । पुरुजित्कुन्तिभोजश्च शैव्यश्च नरपुगंवः ।।," धृष्टकेतु और चेकितान तथा बलवान् काशिराज, पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैव्य, पराक्रमी युधामन्यु तथा बलवान् उत्तमौजा"," Dhrstaketu, Chekitana and the valiant King of Kasi, and Purujit, Kuntibhoja, and Saivya, the best of men and mighty Yudhamanyu, and valiant Uttamauja",0.6,Enjoyment
6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ।। , सुभद्रा पुत्र अभिमन्यु एवं द्रौपदी के पाँचों पुत्र- ये सभी महारथी हैं ।।,"Abhimanyu, the son of Subhadra, and the five sons of Draupadi,-all of them Maharathis (warrior chiefs). ",0.0,Calmness
7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम । नायका मम सैन्यस्य संज्ञार्थं तान् ब्रवीमि ते ।,"हे ब्राह्मणश्रेष्ठ ! अपने पक्ष में भी जो प्रधान हैं, उनको आप समझ लीजिये। आपकी जानकारी के लिये मेरी सेना के जो-जो सेनापति हैं, उनको बतलाता हूँ ।। ","O best of Brahmanas, know them also who
are the principal warriors on our side-the generals of my army. ",0.0,Calmness
8,भवान् भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः । अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च।।,"आप- द्रोणाचार्य और पितामह भीष्म तथा कर्ण और संग्राम विजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सोमदत्त पुत्र भूरिश्रवा ।। ||","Yourself and Bhisma and Karna and Kripa, who is ever victorious in battle; and even so Asvatthama, Vikarna and Bhurisrava (the son of Somadatta);",0.0,Calmness
9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः । नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ।।,और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत-से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं ।। ,"And there are many other heroes, equipped with various weapons and missiles, who have
staked their lives for me, all skilled in warfare.",0.3888888888888889,Empathy
10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् । पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ।।,भीष्म पितामह द्वारा रक्षित हमारी वह सेना सब प्रकार से अजेय है और भीम द्वारा रक्षित इन लोगों की यह सेना जीतने में सुगम है ।। ,"This army of ours, fully protected by Bhisma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to  conquer",0.6166666666666667,Happiness
11,अयनेषु च सर्वेषु यथाभागमवस्थिताः । भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ।।,इसलिये सब मोर्चों पर अपनी-अपनी जगह स्थित रहते हुए आप लोग सभी निःसन्देह भीष्म पितामह की ही सब ओर से रक्षा करें ।। ,"Therefore, stationed in your respective positions on all fronts, you all guard Bhisma in particular on all sides.",0.0,Calmness
12,"तस्य संजनयन् हर्ष कुरुवृद्धः पितामहः ।
सिंहनादं विनद्योच्चैः शंख दध्मौ प्रतापवान् ।",कौरवों में वृद्ध बड़े प्रतापी पितामह भीष्म ने उस दुर्योधन के हृदयमें हर्ष उत्पन्न करते हुए उच्च स्वर से सिंह की दहाड़ के समान गरजकर शंख बजाया ।। ,"The grand old man of the Kaurava race, their glorious grand-uncle Bhisma, cheering up Duryodhana, roared terribly like a lion and blew his conch.",0.48000000000000004,Enjoyment
13,ततः शंखश्च भेर्यश्च पणवानकगोमुखाः । सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ,"इसके पश्चात् शंख और नगारे तथा ढोल, मृदंग और नरसिंघे आदि बाजे एक साथ ही बज उठे। उनका वह शब्द बड़ा भयंकर हुआ ।। ","Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous.",-1.0,Disgust
14,"
ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ । माधवः पाण्डवश्चैव दिव्यौ शंखौ प्रदध्मतुः ।",इसके अनन्तर सफेद घोड़ों से युक्त उत्तम रथ में बैठे हुए श्रीकृष्ण महाराज और अर्जुन ने भी अलौकिक शंख बजाये ,"Then seated in a glorious chariot drawn by white horses, Sri Krsna as well as Arjuna blew their celestial conches.",0.3888888888888889,Empathy
15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः । पौण्ड्रं दध्मौ महाशंखं भीमकर्मा वृकोदरः ।।,"श्रीकृष्ण महाराज ने पाञ्चजन्य नामक, अर्जुन ने देवदत्त नामक और भयानक कर्म वाले भीमसेन ने पौण्ड्र नामक महाशंख बजाया","Sri Krsna blew His Conch named Pañcajanya; Arjuna, his own called Devadatta; while Bhima of terrible deeds blew his mighty conch Paundra",-1.0,Disgust
